"","name","Address","price","lat","lon","distance","type","brand"
"89","Waldenburg","Hauptstr. 7, Waldenburg",1.93,49.19002485,9.64273995,1,"unlead98","Avia"
"90","Tankstelle","Hirschengasse 6, Endingen",1.93,47.5381661,8.28946461386501,1,"unlead98","Avia"
"91","M","Oehningerstr. 74, Stein am Rhein",1.93,47.6601811,8.8751382,1,"unlead98","Avia"
"92","Tankstelle","Mutschellenstr. 25, Bellikon",1.93,47.3868247,8.3463008,1,"unlead98","Avia"
"93","Tankstelle","Dachslerenstr. 9, Zollikon",1.93,47.3436852,8.5747439,1,"unlead98","Avia"
"94","Shop","Konstanzerstr. 86, Wil",1.93,47.4712892,9.0584347,1,"unlead98","Avia"
"95","Tankstelle","Hauptstr. 64, Herznach",1.93,47.4718532,8.0525984,1,"unlead98","Avia"
"96","Tankstelle","Hauptstr. 142, Oeschgen",1.93,47.5143094,8.0148684,1,"unlead98","Avia"
"97","Shop","Zürcherstr. 36, Eglisau",1.93,47.5704484,8.5223849,1,"unlead98","Avia"
"98","Tankstelle","Muehlemattstr. 24, Oberwil",1.93,47.5089799,7.55500898789296,1,"unlead98","Avia"
"99","Seetankstelle","Hafen Steckborn, Steckborn",1.93,47.6648278,8.9767256,1,"unlead98","Avia"
"100","Rosengarten","Konstanzerstr. 65, Tägerwilen",1.93,47.6602456,9.1418678,1,"unlead98","Avia"
"102","Basel","Kannenfeldplatz 4, Basel",1.93,47.5656743,7.5739806,1,"unlead98","Avia"
"103","Sissach","Hauptstr. 138, Sissach",1.93,47.465865,7.80266278676568,1,"unlead98","Avia"
"104","Shop","Route du Simplon  55, Sierre",1.93,46.2546838,7.4247744,1,"unlead98","Avia"
"105","Shop","Zürcherstr. 104, Neuenhof",1.93,47.4515543,8.3244941,1,"unlead98","Avia"
"106","Yvonne","Hauptstr., Wuppenau",1.93,47.4908421,9.1218074,1,"unlead98","Avia"
"107","Shop","Hofwisenstr. 48, Rümlang",1.93,47.4500947,8.53863251746575,1,"unlead98","Avia"
"108","Shop","Zürcherstr. 27, Uznach",1.93,47.2265961,8.98068110671937,1,"unlead98","Avia"
"109","Garage","Kreuzlingerstr. 139, Oberaach",1.93,47.5475504,9.278313,1,"unlead98","Avia"
"110","Franz","Landstr. 71, Glarus",1.93,47.049613,9.0597796,1,"unlead98","Avia"
"111","Garage","Wohlerstr. 23, Bremgarten",1.93,47.3504227,8.3360816,1,"unlead98","Avia"
"112","Tankstelle","Wehntalerstr. 347, Zürich",1.93,47.4133117,8.52085585178216,1,"unlead98","Avia"
"113","Tankstelle","Sommerhalde 18, Fislisbach",1.93,47.4437331,8.28210774198326,1,"unlead98","Avia"
"114","Tankstelle","Seetalstr. 1, Seon",1.93,47.3533465,8.1605069,1,"unlead98","Avia"
"116","Tankstelle","Haagerstr. 82, Gams",1.93,47.2055744,9.4571351,1,"unlead98","Avia"
"117","Spar","Linth-Escherstr. 19 a, Bilten",1.93,47.1516796,9.0285567,1,"unlead98","Avia"
"118","Dornach","Bahnhofstr. 2, Dornach",1.93,48.1473013,11.6843201,1,"unlead98","Avia"
"119","Tankstelle","Hauptstr. 151, Wildhaus",1.93,47.2012914,9.3393877,1,"unlead98","Avia"
"120","Tankstelle","Schaffhauserstr. 81, Kloten",1.93,47.4449933,8.5794457,1,"unlead98","Avia"
